time,Purity
2023-03-13 11:41:28,102.7352
2023-03-13 11:41:33,102.7352
2023-03-13 11:41:38,102.7352
2023-03-13 11:41:43,102.7352
2023-03-13 11:41:48,102.7343
2023-03-13 11:41:53,102.7352
2023-03-13 11:41:58,102.7352
2023-03-13 11:42:03,102.7352
2023-03-13 11:42:08,102.7352
2023-03-13 11:42:13,102.7039
2023-03-13 11:42:18,102.7288
2023-03-13 11:42:24,102.7352
2023-03-13 11:42:29,102.7343
2023-03-13 11:42:34,102.7343
2023-03-13 11:42:39,102.7334
2023-03-13 11:42:44,102.7352
2023-03-13 11:42:49,102.7352
2023-03-13 11:42:54,102.7306
2023-03-13 11:42:59,102.7297
2023-03-13 11:43:04,102.7324
2023-03-13 11:43:09,102.7269
2023-03-13 11:43:15,102.7269
2023-03-13 11:43:20,102.7297
2023-03-13 11:43:25,102.7288
2023-03-13 11:43:30,102.7288
2023-03-13 11:43:35,102.7269
2023-03-13 11:43:40,102.7288
2023-03-13 11:43:45,102.7269
2023-03-13 11:43:50,102.7241
2023-03-13 11:43:55,102.7269
2023-03-13 11:44:00,102.7269
2023-03-13 11:44:05,102.7269
2023-03-13 11:44:11,102.7269
2023-03-13 11:44:16,102.7269
2023-03-13 11:44:21,102.7269
2023-03-13 11:44:26,102.7269
2023-03-13 11:44:31,102.7269
2023-03-13 11:44:36,102.7269
2023-03-13 11:44:41,102.7269
2023-03-13 11:44:46,102.7269
2023-03-13 11:44:51,102.7269
2023-03-13 11:44:56,102.7269
2023-03-13 11:45:01,102.7269
2023-03-13 11:45:06,102.7269
2023-03-13 11:45:11,102.7269
2023-03-13 11:45:16,102.7269
2023-03-13 11:45:21,102.7315
2023-03-13 11:45:26,102.7269
2023-03-13 11:45:31,102.726
2023-03-13 11:45:36,102.7324
2023-03-13 11:45:41,102.7269
2023-03-13 11:45:46,102.7288
2023-03-13 11:45:52,102.7315
2023-03-13 11:45:57,102.7343
2023-03-13 11:46:02,102.7278
2023-03-13 11:46:07,102.7306
2023-03-13 11:46:12,102.7343
2023-03-13 11:46:17,102.7269
2023-03-13 11:46:22,102.7315
2023-03-13 11:46:27,102.7343
2023-03-13 11:46:32,102.7269
2023-03-13 11:46:37,102.7269
2023-03-13 11:46:42,102.7288
2023-03-13 11:46:47,102.7343
2023-03-13 11:46:52,102.7278
2023-03-13 11:46:57,102.7269
2023-03-13 11:47:02,102.7269
2023-03-13 11:47:07,102.7343
2023-03-13 11:47:12,102.726
2023-03-13 11:47:17,102.7269
2023-03-13 11:47:22,102.7297
2023-03-13 11:47:28,102.7269
2023-03-13 11:47:33,102.7186
2023-03-13 11:47:38,102.7269
2023-03-13 11:47:43,102.7269
2023-03-13 11:47:48,102.7269
2023-03-13 11:47:53,102.7269
2023-03-13 11:47:58,102.7269
2023-03-13 11:48:03,102.7269
2023-03-13 11:48:08,102.726
2023-03-13 11:48:13,102.7269
2023-03-13 11:48:18,102.7269
2023-03-13 11:48:23,102.7269
2023-03-13 11:48:28,102.7269
2023-03-13 11:48:33,102.7269
2023-03-13 11:48:38,102.7269
2023-03-13 11:48:43,102.7113
2023-03-13 11:48:48,102.7223
2023-03-13 11:48:53,102.7269
2023-03-13 11:48:58,102.7269
2023-03-13 11:49:04,102.7269
2023-03-13 11:49:09,102.7195
2023-03-13 11:49:14,102.7269
2023-03-13 11:49:19,102.7269
2023-03-13 11:49:24,102.7269
2023-03-13 11:49:29,102.7269
2023-03-13 11:49:34,102.7269
2023-03-13 11:49:39,102.7269
2023-03-13 11:49:44,102.7269
2023-03-13 11:49:49,102.7269
2023-03-13 11:49:54,102.7269
2023-03-13 11:49:59,102.7269
2023-03-13 11:50:04,102.7269
2023-03-13 11:50:09,102.7205
