time,Air Velocity (m/s),BGA He Percent (%),BGA Sound Speed (m/s),Fixed Distance (m),He Velocity (m/s),Measured Distance (m),Mixture Velocity (m/s),Percent He (%),Pressure (PSIG),Temperature (K)
2023-04-13 14:05:30.725,,91.48111724853516,814.95947265625,,,0.34143516421318054,775.5499267578125,92.48793721199036,0.12077999114990234,
2023-04-13 14:05:00.838,331,91.64134979248047,818.0700073242188,0.800000011920929,973,0.34111109375953674,776.2867431640625,92.52702593803406,0.12077999114990234,295.70001220703125
2023-04-13 14:04:30.542,,91.57769012451172,816.6956176757812,,,0.3408217430114746,776.94580078125,92.56188869476318,0.12077999114990234,
2023-04-13 14:04:00.654,331,91.60553741455078,817.129638671875,0.800000011920929,973,0.3404861092567444,777.711669921875,92.60228872299194,0.12077999114990234,295.6000061035156
2023-04-13 14:03:30.752,,91.64749908447266,817.85302734375,,,0.340173602104187,778.4261474609375,92.6398754119873,0.12077999114990234,
2023-04-13 14:03:00.842,331,91.68366241455078,818.5040283203125,0.800000011920929,973,0.33986109495162964,779.1419067382812,92.6774263381958,0.12077999114990234,295.70001220703125
2023-04-13 14:02:30.536,,91.72272491455078,819.1550903320312,,,0.33953702449798584,779.8855590820312,92.7163302898407,0.12239551544189453,
2023-04-13 14:02:00.658,331,91.72996520996094,819.2997436523438,0.800000011920929,973,0.33922451734542847,780.60400390625,92.75381565093994,0.12239551544189453,295.70001220703125
2023-04-13 14:01:30.708,,91.8243637084961,821.1082153320312,,,0.33890047669410706,781.3504028320312,92.79264211654663,0.12239551544189453,
2023-04-13 14:01:00.863,331,91.85076904296875,821.542236328125,0.800000011920929,973,0.33857637643814087,782.0983276367188,92.83143877983093,0.12239551544189453,295.70001220703125
2023-04-13 14:00:30.550,,91.88983154296875,822.1932373046875,,,0.3382638990879059,782.82080078125,92.8688108921051,0.12077999114990234,
2023-04-13 14:00:00.634,331,91.92780303955078,822.9166870117188,0.800000011920929,973,0.3379861116409302,783.4641723632812,92.90199875831604,0.11916255950927734,295.70001220703125
2023-04-13 13:59:30.763,,91.96759033203125,823.6400756835938,,,0.3376736044883728,784.1892700195312,92.93931722640991,0.12077999114990234,
2023-04-13 13:59:00.840,331,92.18714141845703,831.3801879882812,0.800000011920929,973,0.33736109733581543,784.9157104492188,92.97659397125244,0.11916255950927734,295.70001220703125
2023-04-13 13:58:30.969,,92.04571533203125,825.0144653320312,,,0.33706018328666687,785.616455078125,93.01245212554932,0.11916255950927734,
2023-04-13 13:58:00.661,331,92.09562683105469,825.954833984375,0.800000011920929,973,0.3367476761341095,786.3455200195312,93.04965734481812,0.12077999114990234,295.70001220703125
2023-04-13 13:57:30.668,,92.13179779052734,826.6058959960938,,,0.3364236056804657,787.1029663085938,93.08819770812988,0.11916255950927734,
2023-04-13 13:57:00.855,331,92.16073608398438,826.895263671875,0.800000011920929,973,0.33601853251457214,788.0518188476562,93.13633441925049,0.12077999114990234,295.70001220703125
2023-04-13 13:56:30.961,,92.21426391601562,828.125,,,0.33579859137535095,788.5679931640625,93.16244125366211,0.12077999114990234,
2023-04-13 13:56:00.544,331,92.26055908203125,828.9931030273438,0.800000011920929,973,0.3355092704296112,789.2479858398438,93.19676160812378,0.11916255950927734,295.70001220703125
2023-04-13 13:55:30.662,,92.29275512695312,829.57177734375,,,0.33509260416030884,790.2293701171875,93.24613809585571,0.11916255950927734,
