time,AIT502 (%),DPT511 (PSIG),HR3 Run,LT524A (LL),LT524B (LL),PT305 (PSIG),PT306 (PSIG),PT503 (PSIG),PT520A (PSIG),PT520B (PSIG),Purifier Bottom Temp (K),Purifier Top Temp (K),TE411 (K),TE412 (K),TE521A (K),TE521B (K),TE522A (K),TE522B (K),TT903 (K),Inlet Purity (%),Outlet Purity (%)
2023-03-22 18:33:44.087,99.99956512451172,0.0042247772216796875,False,0.15491890907287598,3.453625440597534,104.05815887451172,0.19191741943359375,23.046875,8.872265815734863,4.1481122970581055,7.580000305175782,8.320000457763673,83.20000457763672,7.580000305175782,128.45394897460938,6.538049221038818,4.293158531188965,4.0061821937561035,-16.29123306274414,98.77354431152344,99.99956512451172
2023-03-22 18:32:44.097,98.77354431152344,0.004223823547363281,False,0.15491890907287598,3.4732279777526855,104.06901550292969,0.19191741943359375,23.05772590637207,8.869030952453613,4.146496772766113,7.550000000000001,8.280000305175781,82.80000305175781,7.550000000000001,128.0868377685547,6.528167247772217,4.345676898956299,4.013684272766113,-16.218894958496094,98.77354431152344,99.99956512451172
2023-03-22 18:31:44.087,98.77354431152344,0.0031681060791015625,False,0.15246906876564026,3.4634318351745605,104.06901550292969,0.19191741943359375,23.046875,8.867417335510254,4.144879341125488,7.530000305175782,8.240000152587891,82.4000015258789,7.530000305175782,128.0868377685547,6.538049221038818,4.3756866455078125,3.9949283599853516,-16.21527671813965,98.77420043945312,99.99956512451172
2023-03-22 18:30:44.089,98.77354431152344,0.005280494689941406,False,0.1573687344789505,3.453625440597534,104.06901550292969,0.19353294372558594,23.046875,8.872265815734863,4.144879341125488,7.50999984741211,8.200000000000001,82,7.50999984741211,127.90327453613281,6.55781364440918,4.366308689117432,3.9855501651763916,-16.204425811767578,98.77420043945312,99.99956512451172
2023-03-22 18:29:44.095,98.77387237548828,0.006337165832519531,False,0.1573687344789505,3.4634318351745605,104.05815887451172,0.19353294372558594,23.046875,8.875500679016113,4.146496772766113,7.480000305175782,8.15999984741211,81.5999984741211,7.480000305175782,127.90327453613281,6.54793119430542,4.3794379234313965,4.038068771362305,-16.171875,98.77420043945312,99.99956512451172
2023-03-22 18:28:44.095,98.77506256103516,0.007393836975097656,False,0.1573687344789505,3.434023141860962,104.06901550292969,0.19029998779296875,23.068574905395508,8.867417335510254,4.138411521911621,7.45999984741211,8.120000457763672,81.20000457763672,7.45999984741211,127.71968841552734,6.55781364440918,4.280027866363525,3.9986796379089355,-16.164640426635742,98.77420043945312,99.99956512451172
2023-03-22 18:27:44.093,99.99956512451172,0.006337165832519531,False,0.1598186045885086,3.3948280811309814,104.06901550292969,0.19353294372558594,23.03602409362793,8.869030952453613,4.144879341125488,7.430000305175781,8.070000457763673,80.70000457763672,7.430000305175781,127.35257720947266,6.54793119430542,4.295033931732178,4.008057594299316,-16.189958572387695,98.77420043945312,99.99956512451172
2023-03-22 18:26:44.100,99.99956512451172,0.005280494689941406,False,0.1622685194015503,3.404634475708008,104.05815887451172,0.19676685333251953,23.07942771911621,8.869030952453613,4.144879341125488,7.4,8.030000305175781,80.30000305175781,7.4,127.16902160644531,6.54793119430542,4.349428176879883,4.013684272766113,-16.164640426635742,98.77420043945312,99.99956512451172
2023-03-22 18:25:44.104,99.99956512451172,0.006337165832519531,False,0.1622685194015503,3.3948280811309814,104.05815887451172,0.19676685333251953,23.05772590637207,8.870648384094238,4.138411521911621,7.380000305175781,7.990000152587891,79.9000015258789,7.380000305175781,127.16902160644531,6.54793119430542,4.302536487579346,4.0061821937561035,-16.139324188232422,98.77420043945312,99.99956512451172
2023-03-22 18:24:44.101,99.99956512451172,0.00739288330078125,False,0.16471834480762482,3.37522554397583,104.1232681274414,0.19676685333251953,23.05772590637207,8.873883247375488,4.143261909484863,7.3500000000000005,7.940000152587891,79.4000015258789,7.3500000000000005,126.98545837402344,6.567695617675781,4.328794956207275,3.9874258041381836,-16.132089614868164,98.77420043945312,99.99956512451172
2023-03-22 18:23:44.103,99.99956512451172,0.00739288330078125,False,0.16471834480762482,3.35563325881958,104.06901550292969,0.19191741943359375,23.068574905395508,8.872265815734863,4.144879341125488,7.330000305175782,7.9,79,7.330000305175782,126.8019027709961,6.55781364440918,4.317541599273682,4.000555038452148,-16.11762046813965,98.77420043945312,99.99956512451172
2023-03-22 18:22:44.116,99.99956512451172,0.006337165832519531,False,0.16716818511486053,3.345837116241455,104.06901550292969,0.19515037536621094,23.05772590637207,8.873883247375488,4.144879341125488,7.300000000000001,7.8500000000000005,78.5,7.300000000000001,126.8019027709961,6.587459564208984,4.313790321350098,4.004306316375732,-16.092302322387695,98.77420043945312,99.99956512451172
2023-03-22 18:21:44.106,99.99956512451172,0.005280494689941406,False,0.16716818511486053,3.316438674926758,104.0798568725586,0.19029998779296875,23.05772590637207,8.872265815734863,4.140028953552246,7.270000457763672,7.80999984741211,78.0999984741211,7.270000457763672,126.61834716796875,6.577577590942383,4.2706499099731445,3.9986796379089355,-16.092302322387695,98.77420043945312,99.99956512451172
2023-03-22 18:20:44.131,99.99956512451172,0.008448600769042969,False,0.16716818511486053,3.277233600616455,104.09071350097656,0.18868255615234375,23.10112953186035,8.873883247375488,4.141646385192871,7.25,7.75999984741211,77.5999984741211,7.25,126.43476104736328,6.577577590942383,4.345676898956299,4.0061821937561035,-16.066984176635742,98.77420043945312,99.99956512451172
